Image type,Feature Class,Feature Name,Segmentation_segment_IPH,Segmentation_segment_IPH_lipid,Segmentation_segment_Fibrous,Segmentation_segment_Calcium
log-sigma-1-0-mm-3D,firstorder,InterquartileRange,36.48478508,33.26904869,29.18089366,130.2069283
log-sigma-1-0-mm-3D,firstorder,Kurtosis,2.582377771,3.10170241,4.77543695,2.108752199
log-sigma-1-0-mm-3D,firstorder,Maximum,127.3810883,115.1854477,105.6526947,16.70323563
log-sigma-1-0-mm-3D,firstorder,MeanAbsoluteDeviation,20.09030554,20.01526419,18.36408286,72.56443952
log-sigma-1-0-mm-3D,firstorder,Mean,53.7274709,38.65272349,28.53646623,-116.9005244
log-sigma-1-0-mm-3D,firstorder,Median,56.46522713,40.09438705,31.46229744,-139.4524078
log-sigma-1-0-mm-3D,firstorder,Minimum,-2.281291485,-59.72080612,-100.1183014,-290.0551758
log-sigma-1-0-mm-3D,firstorder,Range,129.6623797,174.9062538,205.7709961,306.7584114
log-sigma-1-0-mm-3D,firstorder,RobustMeanAbsoluteDeviation,14.50546713,13.93370743,12.24599602,55.22654506
log-sigma-1-0-mm-3D,firstorder,RootMeanSquared,59.20287925,46.21703133,37.30088356,143.298371
log-sigma-1-0-mm-3D,firstorder,Skewness,-0.107047355,-0.066758684,-0.536219557,-0.108314521
log-sigma-1-0-mm-3D,firstorder,TotalEnergy,1009434.503,1486665.734,1858851.502,492826.155
log-sigma-1-0-mm-3D,firstorder,Uniformity,0.268470293,0.276526787,0.313348229,0.135416667
log-sigma-1-0-mm-3D,firstorder,Variance,618.3397828,641.9809522,577.0260095,6868.69053
log-sigma-1-0-mm-3D,glcm,Autocorrelation,13.31951997,22.93152958,46.14701674,61.5764652
log-sigma-1-0-mm-3D,glcm,ClusterProminence,24.46548709,37.67871174,24.31741595,859.6247402
log-sigma-1-0-mm-3D,glcm,ClusterShade,-0.968052491,0.64566344,-1.497839057,-4.270667762
log-sigma-1-0-mm-3D,glcm,ClusterTendency,2.94203082,3.672014552,2.166411136,17.22823729
log-sigma-1-0-mm-3D,glcm,Contrast,0.929788957,0.993589385,0.932561139,18.08195971
log-sigma-1-0-mm-3D,glcm,Correlation,0.509891595,0.563305676,0.388959813,-0.104121325
log-sigma-1-0-mm-3D,glcm,DifferenceAverage,0.669892923,0.657405917,0.647940635,3.653388278
