"Image type","Feature Class","Feature Name","Segmentation_segment_IPH","Segmentation_segment_IPH_lipid","Segmentation_segment_Calcium","Segmentation_segment_Fibrous"
"log-sigma-1-0-mm-3D","firstorder","Minimum","3.291461706161499","-26.74181365966797","","-55.5051383972168"
"log-sigma-1-0-mm-3D","firstorder","Range","113.43931221961975","132.15658569335938","","149.81501388549805"
"log-sigma-1-0-mm-3D","firstorder","RobustMeanAbsoluteDeviation","11.840302597595853","12.953777117432049","","15.300741836935195"
"log-sigma-1-0-mm-3D","firstorder","RootMeanSquared","68.01578711430331","53.266273481117025","","37.85864436614381"
"log-sigma-1-0-mm-3D","firstorder","Skewness","-0.25557814775645904","-0.40684600298709034","","-0.43472528598004256"
"log-sigma-1-0-mm-3D","firstorder","TotalEnergy","3663908.659048356","1611584.0658410056","","1261283.718853094"
"log-sigma-1-0-mm-3D","firstorder","Uniformity","0.3143174165901439","0.28393423923824634","","0.2558109504132231"
"log-sigma-1-0-mm-3D","firstorder","Variance","431.57121715263224","580.8829284651113","","690.480293924037"
"log-sigma-1-0-mm-3D","glcm","Autocorrelation","10.130045215299933","20.181896594668732","","21.653684331225016"
"log-sigma-1-0-mm-3D","glcm","ClusterProminence","11.688326963460419","28.36834155962409","","30.41860600525323"
"log-sigma-1-0-mm-3D","glcm","ClusterShade","-0.5032783177660726","-2.729144917062996","","-2.4289714709045467"
"log-sigma-1-0-mm-3D","glcm","ClusterTendency","2.0831886301050546","3.0471954885508263","","3.16671464327355"
"log-sigma-1-0-mm-3D","glcm","Contrast","1.0762233699493626","1.0081334770692705","","1.3143333310719627"
"log-sigma-1-0-mm-3D","glcm","Correlation","0.3185151130244925","0.5030325505876134","","0.4217169365598624"
"log-sigma-1-0-mm-3D","glcm","DifferenceAverage","0.729282938978877","0.7322757606488176","","0.8233324743399317"
"log-sigma-1-0-mm-3D","glcm","DifferenceEntropy","1.4770526284457153","1.360646429289363","","1.5503154906572614"
"log-sigma-1-0-mm-3D","glcm","DifferenceVariance","0.5234784751305208","0.44069059748861494","","0.5835097344804763"
"log-sigma-1-0-mm-3D","glcm","Id","0.6885485394478459","0.675691478322382","","0.6609280447388884"
"log-sigma-1-0-mm-3D","glcm","Idm","0.6700525736076101","0.661325871896212","","0.6371993641769621"
"log-sigma-1-0-mm-3D","glcm","Idmn","0.9619922227531459","0.9806576521405803","","0.9752604796915743"
"log-sigma-1-0-mm-3D","glcm","Idn","0.8863823730820226","0.9121555132528033","","0.9035882559753314"
"log-sigma-1-0-mm-3D","glcm","Imc1","-0.0810818917496357","-0.19409363657815215","","-0.12450665685508616"
"log-sigma-1-0-mm-3D","glcm","Imc2","0.4533656829823631","0.7039051992399936","","0.597240018308463"
"log-sigma-1-0-mm-3D","glcm","InverseVariance","0.4694699151107453","0.529207382322931","","0.4793307605888829"
"log-sigma-1-0-mm-3D","glcm","JointAverage","3.1399637921824937","4.431388486901095","","4.6031492485729615"
"log-sigma-1-0-mm-3D","glcm","JointEnergy","0.1134021661391947","0.11484695080881327","","0.09333850366454223"
"log-sigma-1-0-mm-3D","glcm","JointEntropy","3.5822844097014275","3.6320992753695243","","3.9164733170675325"
