"Image type","Feature Class","Feature Name","Segmentation_segment_IPH_lipid","Segmentation_segment_Fibrous","Segmentation_segment_Calcium","Segmentation_segment_IPH"
"log-sigma-1-0-mm-3D","glcm","Autocorrelation","8.750542513639331","12.395736368967654","282.4424074970103","1.6071428571428572"
"log-sigma-1-0-mm-3D","glcm","ClusterProminence","98.66403219089852","72.70767401963404","38052.13464919889","0.19642857142857142"
"log-sigma-1-0-mm-3D","glcm","ClusterShade","11.61353136128566","8.662913862063345","-31.182408507785865","0.10714285714285714"
"log-sigma-1-0-mm-3D","glcm","ClusterTendency","3.245180486749128","3.769032056309798","128.87458031103637","0.14285714285714285"
"log-sigma-1-0-mm-3D","glcm","Contrast","0.2791258247491669","1.1552385407734083","65.8089748221989","0.5"
"log-sigma-1-0-mm-3D","glcm","Correlation","0.6634386957658133","0.4972175659609513","0.3259281959962768","-0.047619047619047325"
"log-sigma-1-0-mm-3D","glcm","DifferenceAverage","0.2743181324414746","0.8101158800760005","6.596265583938666","0.5"
"log-sigma-1-0-mm-3D","glcm","DifferenceEntropy","0.8049788233912218","1.3464913140624584","3.9192758745344003","0.1428571428571425"
"log-sigma-1-0-mm-3D","glcm","DifferenceVariance","0.1928176033307442","0.4428781871904327","20.668168748005648","0.03571428571428571"
"log-sigma-1-0-mm-3D","glcm","Id","0.8636422158305448","0.6461073517338356","0.22273716778400635","0.75"
"log-sigma-1-0-mm-3D","glcm","Idm","0.863321703010032","0.6294543260317407","0.13027470744783198","0.75"
"log-sigma-1-0-mm-3D","glcm","Idmn","0.9944283688460908","0.982874274917891","0.9413116963614291","0.9"
"log-sigma-1-0-mm-3D","glcm","Idn","0.9657770069490892","0.9136677563828743","0.8368453606543119","0.8333333333333334"
"log-sigma-1-0-mm-3D","glcm","Imc1","-0.36699405078244374","-0.2802857228263801","-0.38937988194889095","-0.593009377112719"
"log-sigma-1-0-mm-3D","glcm","Imc2","0.7385276326937557","0.7992278673712168","0.9852985227439289","0.593106804628043"
"log-sigma-1-0-mm-3D","glcm","InverseVariance","0.27011140167224384","0.5681544289221294","0.1361896878970835","0.5"
"log-sigma-1-0-mm-3D","glcm","JointAverage","2.816744624818232","3.403281605466293","16.323764030597633","1.2857142857142858"
"log-sigma-1-0-mm-3D","glcm","JointEnergy","0.27913747499608543","0.12243382924235419","0.006187890692493595","0.6428571428571429"
"log-sigma-1-0-mm-3D","glcm","JointEntropy","2.178748720446559","3.423238319129211","7.477693114203341","0.7587540177798754"
"log-sigma-1-0-mm-3D","glcm","MCC","0.7636395412114484","0.7572620097822349","0.6768720234646602","0.6190476190476186"
"log-sigma-1-0-mm-3D","glcm","MaximumProbability","0.40971646770718395","0.2031844847362701","0.015057173742273604","0.6785714285714286"
"log-sigma-1-0-mm-3D","glcm","SumAverage","5.633489249636464","6.806563210932586","32.64752806119525","2.5714285714285716"
"log-sigma-1-0-mm-3D","glcm","SumEntropy","1.89521311960091","2.5348881459721917","5.152299557834322","0.2587540177798758"
"log-sigma-1-0-mm-3D","glcm","SumSquares","0.8810765778745739","1.2310676492708017","48.67088878330883","0.16071428571428573"
"log-sigma-1-0-mm-3D","gldm","DependenceEntropy","4.576134278978348","4.414804582059547","5.672312017689974","1.4999999999999991"
"log-sigma-1-0-mm-3D","gldm","DependenceNonUniformity","13.892307692307693","48.0","94.00862068965517","4.0"
"log-sigma-1-0-mm-3D","gldm","DependenceNonUniformityNormalized","0.10686390532544379","0.20869565217391303","0.40520957193816887","0.5"
"log-sigma-1-0-mm-3D","gldm","DependenceVariance","8.07360946745562","2.511153119092628","0.48327883472057076","1.0"
